sample_name,SRX,SRR
s2_glu_acc,SRX7556659,SRR10887678
s2_glu_acc,SRX7556659,SRR10887679
s4_glu_acc,SRX7556660,SRR10887680
s4_glu_acc,SRX7556660,SRR10887681
s1_glu_acc,SRX7556661,SRR10887682
s1_glu_acc,SRX7556661,SRR10887683
s3_glu_acc,SRX7556662,SRR10887684
s3_glu_acc,SRX7556662,SRR10887685
s2_glu_dlpfc,SRX7556663,SRR10887686
s2_glu_dlpfc,SRX7556663,SRR10887687
s1_glu_dlpfc,SRX7556664,SRR10887688
s1_glu_dlpfc,SRX7556664,SRR10887689
s4_glu_dlpfc,SRX7556665,SRR10887690
s4_glu_dlpfc,SRX7556665,SRR10887691
s3_glu_dlpfc,SRX7556666,SRR10887692
s3_glu_dlpfc,SRX7556666,SRR10887693
s3_glu_pvc,SRX7556667,SRR10887694
s3_glu_pvc,SRX7556667,SRR10887695
s2_glu_pvc,SRX7556668,SRR10887696
s2_glu_pvc,SRX7556668,SRR10887697
s4_glu_pvc,SRX7556669,SRR10887698
s4_glu_pvc,SRX7556669,SRR10887699
s1_glu_pvc,SRX7556670,SRR10887700
s1_glu_pvc,SRX7556670,SRR10887701
s3_gaba_acc,SRX7556671,SRR10887702
s3_gaba_acc,SRX7556671,SRR10887703
s4_gaba_acc,SRX7556672,SRR10887704
s4_gaba_acc,SRX7556672,SRR10887705
s1_gaba_acc,SRX7556673,SRR10887706
s1_gaba_acc,SRX7556673,SRR10887707
s4_gaba_dlpfc,SRX7556674,SRR10887708
s4_gaba_dlpfc,SRX7556674,SRR10887709
s2_gaba_dlpfc,SRX7556675,SRR10887710
s2_gaba_dlpfc,SRX7556675,SRR10887711
s3_gaba_dlpfc,SRX7556676,SRR10887712
s3_gaba_dlpfc,SRX7556676,SRR10887713
s1_gaba_dlpfc,SRX7556677,SRR10887714
s1_gaba_dlpfc,SRX7556677,SRR10887715
s3_gaba_pvc,SRX7556678,SRR10887716
s3_gaba_pvc,SRX7556678,SRR10887717
s4_gaba_pvc,SRX7556679,SRR10887718
s4_gaba_pvc,SRX7556679,SRR10887719
s1_gaba_pvc,SRX7556680,SRR10887720
s1_gaba_pvc,SRX7556680,SRR10887721
s2_gaba_pvc,SRX7556681,SRR10887722
s2_gaba_pvc,SRX7556681,SRR10887723
s2_olig_acc,SRX7556682,SRR10887724
s2_olig_acc,SRX7556682,SRR10887725
s1_olig_acc,SRX7556683,SRR10887726
s1_olig_acc,SRX7556683,SRR10887727
s3_olig_acc,SRX7556684,SRR10887728
s3_olig_acc,SRX7556684,SRR10887729
s4_olig_acc,SRX7556685,SRR10887730
s4_olig_acc,SRX7556685,SRR10887731
s2_olig_dlpfc,SRX7556686,SRR10887732
s2_olig_dlpfc,SRX7556686,SRR10887733
s1_olig_dlpfc,SRX7556687,SRR10887734
s1_olig_dlpfc,SRX7556687,SRR10887735
s3_olig_dlpfc,SRX7556688,SRR10887736
s3_olig_dlpfc,SRX7556688,SRR10887737
s4_olig_dlpfc,SRX7556689,SRR10887738
s4_olig_dlpfc,SRX7556689,SRR10887739
s1_olig_pvc,SRX7556690,SRR10887740
s1_olig_pvc,SRX7556690,SRR10887741
s3_olig_pvc,SRX7556691,SRR10887742
s3_olig_pvc,SRX7556691,SRR10887743
s2_olig_pvc,SRX7556692,SRR10887744
s2_olig_pvc,SRX7556692,SRR10887745
s4_olig_pvc,SRX7556693,SRR10887746
s4_olig_pvc,SRX7556693,SRR10887747
s1_mgas_acc,SRX7556694,SRR10887748
s1_mgas_acc,SRX7556694,SRR10887749
s3_mgas_acc,SRX7556695,SRR10887750
s3_mgas_acc,SRX7556695,SRR10887751
s2_mgas_acc,SRX7556696,SRR10887752
s2_mgas_acc,SRX7556696,SRR10887753
s4_mgas_acc,SRX7556697,SRR10887754
s4_mgas_acc,SRX7556697,SRR10887755
s4_mgas_dlpfc,SRX7556698,SRR10887756
s4_mgas_dlpfc,SRX7556698,SRR10887757
s1_mgas_dlpfc,SRX7556699,SRR10887758
s1_mgas_dlpfc,SRX7556699,SRR10887759
s2_mgas_dlpfc,SRX7556700,SRR10887760
s2_mgas_dlpfc,SRX7556700,SRR10887761
s3_mgas_dlpfc,SRX7556701,SRR10887762
s3_mgas_dlpfc,SRX7556701,SRR10887763
s1_mgas_pvc,SRX7556702,SRR10887764
s1_mgas_pvc,SRX7556702,SRR10887765
s3_mgas_pvc,SRX7556703,SRR10887766
s3_mgas_pvc,SRX7556703,SRR10887767
s4_mgas_pvc,SRX7556704,SRR10887768
s4_mgas_pvc,SRX7556704,SRR10887769
s2_mgas_pvc,SRX7556705,SRR10887770
s2_mgas_pvc,SRX7556705,SRR10887771
