sample_name,SRX,SRR
human_kidney_sample_-_snatac-seq_rep1,SRX10595438,SRR14230888
human_kidney_sample_-_snatac-seq_rep1,SRX10595438,SRR14230889
human_kidney_sample_-_snatac-seq_rep1,SRX10595438,SRR14230890
human_kidney_sample_-_snatac-seq_rep1,SRX10595438,SRR14230891
human_kidney_sample_-_snatac-seq_rep1,SRX10595438,SRR14230892
human_kidney_sample_-_snatac-seq_rep1,SRX10595438,SRR14230893
human_kidney_sample_-_snatac-seq_rep2,SRX10595439,SRR14230894
human_kidney_sample_-_snatac-seq_rep2,SRX10595439,SRR14230895
human_kidney_sample_-_snatac-seq_rep2,SRX10595439,SRR14230896
human_kidney_sample_-_snatac-seq_rep2,SRX10595439,SRR14230897
human_kidney_sample_-_snatac-seq_rep2,SRX10595439,SRR14230898
human_kidney_sample_-_snatac-seq_rep2,SRX10595439,SRR14230899
