sample_name,SRX,SRR
nosn03_snrna-seq,SRX17079362,SRR21064199
nosn03_snrna-seq,SRX17079362,SRR21064200
nosn03_snrna-seq,SRX17079362,SRR21064201
nosn03_snrna-seq,SRX17079362,SRR21064202
nosn03_snrna-seq,SRX17079362,SRR21064203
nosn05_snrna-seq,SRX17079364,SRR21064205
nosn05_snrna-seq,SRX17079364,SRR21064206
nosn06_snrna-seq,SRX17079365,SRR21064207
nosn06_snrna-seq,SRX17079365,SRR21064208
pdsn01_snrna-seq,SRX17079366,SRR21064209
pdsn01_snrna-seq,SRX17079366,SRR21064210
pdsn02_snrna-seq,SRX17079367,SRR21064211
pdsn02_snrna-seq,SRX17079367,SRR21064212
pdsn09_snrna-seq,SRX17079370,SRR21064216
pdsn09_snrna-seq,SRX17079370,SRR21064217
pdsn09_snrna-seq,SRX17079370,SRR21064218
pdsn09_snrna-seq,SRX17079370,SRR21064219
pdsn09_snrna-seq,SRX17079370,SRR21064220
pdsn09_snrna-seq,SRX17079370,SRR21064221
pdsn09_snrna-seq,SRX17079370,SRR21064222
pdsn09_snrna-seq,SRX17079370,SRR21064223
nosn01_snatac-seq,SRX17079371,SRR21064224
nosn01_snatac-seq,SRX17079371,SRR21064225
nosn01_snatac-seq,SRX17079371,SRR21064226
nosn01_snatac-seq,SRX17079371,SRR21064227
nosn01_snatac-seq,SRX17079371,SRR21064228
pdsn07_snatac-seq,SRX17079338,SRR21064239
pdsn07_snatac-seq,SRX17079338,SRR21064240
pdsn07_snatac-seq,SRX17079338,SRR21064241
pdsn07_snatac-seq,SRX17079338,SRR21064242
pdsn07_snatac-seq,SRX17079338,SRR21064243
