sample_name,SRX,SRR
atac-seq_mm3001_4h,SRX11007553,SRR14669064
atac-seq_mm3001_4h,SRX11007553,SRR14669065
atac-seq_mm3001_24h,SRX11007555,SRR14669066
atac-seq_mm3001_24h,SRX11007555,SRR14669067
atac-seq_mm3001_72h,SRX11007556,SRR14669036
atac-seq_mm3001_72h,SRX11007556,SRR14669037
atac-seq_mm3001_ctrl,SRX11007557,SRR14669038
atac-seq_mm3001_ctrl,SRX11007557,SRR14669039
atac-seq_mm3008_4h,SRX11007558,SRR14669040
atac-seq_mm3008_4h,SRX11007558,SRR14669041
atac-seq_mm3008_24h,SRX11007559,SRR14669042
atac-seq_mm3008_24h,SRX11007559,SRR14669043
atac-seq_mm3008_72h,SRX11007560,SRR14669044
atac-seq_mm3008_72h,SRX11007560,SRR14669045
atac-seq_mm3008_ctrl,SRX11007561,SRR14669046
atac-seq_mm3008_ctrl,SRX11007561,SRR14669047
atac-seq_mm3016_4h,SRX11007562,SRR14669048
atac-seq_mm3016_4h,SRX11007562,SRR14669049
atac-seq_mm3016_24h,SRX11007563,SRR14669050
atac-seq_mm3016_24h,SRX11007563,SRR14669051
atac-seq_mm3016_72h,SRX11007564,SRR14669052
atac-seq_mm3016_72h,SRX11007564,SRR14669053
atac-seq_mm3016_ctrl,SRX11007565,SRR14669054
atac-seq_mm3016_ctrl,SRX11007565,SRR14669055
atac-seq_mm3038_4h,SRX11007566,SRR14669056
atac-seq_mm3038_4h,SRX11007566,SRR14669057
atac-seq_mm3038_24h,SRX11007567,SRR14669058
atac-seq_mm3038_24h,SRX11007567,SRR14669059
atac-seq_mm3038_72h,SRX11007568,SRR14669060
atac-seq_mm3038_72h,SRX11007568,SRR14669061
atac-seq_mm3038_ctrl,SRX11007569,SRR14669062
atac-seq_mm3038_ctrl,SRX11007569,SRR14669063
