sample_name,SRX,SRR
bulkatac_control_putamen_5,SRX8020445,SRR11442421
bulkatac_control_putamen_5,SRX8020445,SRR11442422
bulkatac_control_putamen_6,SRX8020446,SRR11442423
bulkatac_control_putamen_6,SRX8020446,SRR11442424
bulkatac_control_putamen_8,SRX8020448,SRR11442426
bulkatac_control_putamen_8,SRX8020448,SRR11442427
bulkatac_control_substantia_nigra_1,SRX8020450,SRR11442429
bulkatac_control_substantia_nigra_1,SRX8020450,SRR11442430
bulkatac_control_substantia_nigra_10,SRX8020451,SRR11442431
bulkatac_control_substantia_nigra_10,SRX8020451,SRR11442432
bulkatac_control_substantia_nigra_10,SRX8020451,SRR11442433
bulkatac_control_substantia_nigra_11,SRX8020452,SRR11442434
bulkatac_control_substantia_nigra_11,SRX8020452,SRR11442435
bulkatac_control_substantia_nigra_11,SRX8020452,SRR11442436
bulkatac_control_substantia_nigra_12,SRX8020453,SRR11442437
bulkatac_control_substantia_nigra_12,SRX8020453,SRR11442438
bulkatac_control_substantia_nigra_13,SRX8020454,SRR11442439
bulkatac_control_substantia_nigra_13,SRX8020454,SRR11442440
bulkatac_control_substantia_nigra_14,SRX8020455,SRR11442441
bulkatac_control_substantia_nigra_14,SRX8020455,SRR11442442
bulkatac_control_substantia_nigra_2,SRX8020456,SRR11442443
bulkatac_control_substantia_nigra_2,SRX8020456,SRR11442444
bulkatac_control_substantia_nigra_3,SRX8020457,SRR11442445
bulkatac_control_substantia_nigra_3,SRX8020457,SRR11442446
bulkatac_control_substantia_nigra_4,SRX8020458,SRR11442447
bulkatac_control_substantia_nigra_4,SRX8020458,SRR11442448
bulkatac_control_substantia_nigra_5,SRX8020459,SRR11442449
bulkatac_control_substantia_nigra_5,SRX8020459,SRR11442450
bulkatac_control_substantia_nigra_6,SRX8020460,SRR11442451
bulkatac_control_substantia_nigra_6,SRX8020460,SRR11442452
bulkatac_control_substantia_nigra_7,SRX8020461,SRR11442453
bulkatac_control_substantia_nigra_7,SRX8020461,SRR11442454
bulkatac_control_substantia_nigra_8,SRX8020462,SRR11442455
bulkatac_control_substantia_nigra_8,SRX8020462,SRR11442456
bulkatac_control_substantia_nigra_9,SRX8020463,SRR11442457
bulkatac_control_substantia_nigra_9,SRX8020463,SRR11442458
bulkatac_control_superior_and_middle_temporal_gyri_1,SRX8020464,SRR11442459
bulkatac_control_superior_and_middle_temporal_gyri_1,SRX8020464,SRR11442460
bulkatac_control_superior_and_middle_temporal_gyri_10,SRX8020465,SRR11442461
bulkatac_control_superior_and_middle_temporal_gyri_10,SRX8020465,SRR11442462
bulkatac_control_superior_and_middle_temporal_gyri_11,SRX8020466,SRR11442463
bulkatac_control_superior_and_middle_temporal_gyri_11,SRX8020466,SRR11442464
bulkatac_control_superior_and_middle_temporal_gyri_12,SRX8020467,SRR11442465
bulkatac_control_superior_and_middle_temporal_gyri_12,SRX8020467,SRR11442466
bulkatac_control_superior_and_middle_temporal_gyri_13,SRX8020468,SRR11442467
bulkatac_control_superior_and_middle_temporal_gyri_13,SRX8020468,SRR11442468
bulkatac_control_superior_and_middle_temporal_gyri_15,SRX8020470,SRR11442470
bulkatac_control_superior_and_middle_temporal_gyri_15,SRX8020470,SRR11442471
bulkatac_control_superior_and_middle_temporal_gyri_16,SRX8020471,SRR11442472
bulkatac_control_superior_and_middle_temporal_gyri_16,SRX8020471,SRR11442473
