sample_name,SRX,SRR
atac-seq_f032-c11-t1,SRX9620132,SRR13182264
atac-seq_f032-c11-t1,SRX9620132,SRR13182265
atac-seq_f033-c11-n1,SRX9620133,SRR13182266
atac-seq_f033-c11-n1,SRX9620133,SRR13182267
atac-seq_f034-c11-m1,SRX9620134,SRR13182268
atac-seq_f034-c11-m1,SRX9620134,SRR13182269
atac-seq_f035-c11-m2,SRX9620135,SRR13182270
atac-seq_f035-c11-m2,SRX9620135,SRR13182271
atac-seq_f036-c12-t1,SRX9620136,SRR13182272
atac-seq_f036-c12-t1,SRX9620136,SRR13182273
atac-seq_f037-c12-n1,SRX9620168,SRR13182274
atac-seq_f037-c12-n1,SRX9620168,SRR13182275
atac-seq_f037-c12-n1,SRX9620168,SRR13182276
atac-seq_f037-c12-n1,SRX9620168,SRR13182277
atac-seq_f038-c12-m1,SRX9620169,SRR13182278
atac-seq_f038-c12-m1,SRX9620169,SRR13182279
atac-seq_f038-c12-m1,SRX9620169,SRR13182280
atac-seq_f038-c12-m1,SRX9620169,SRR13182281
atac-seq_f039-c12-m2,SRX9620170,SRR13182282
atac-seq_f039-c12-m2,SRX9620170,SRR13182283
atac-seq_f039-c12-m2,SRX9620170,SRR13182284
atac-seq_f039-c12-m2,SRX9620170,SRR13182285
atac-seq_f040-c12-m3,SRX9620171,SRR13182286
atac-seq_f040-c12-m3,SRX9620171,SRR13182287
atac-seq_f040-c12-m3,SRX9620171,SRR13182288
atac-seq_f040-c12-m3,SRX9620171,SRR13182289
atac-seq_f041-c13-t1,SRX9620172,SRR13182290
atac-seq_f041-c13-t1,SRX9620172,SRR13182291
atac-seq_f041-c13-t1,SRX9620172,SRR13182292
atac-seq_f041-c13-t1,SRX9620172,SRR13182293
atac-seq_f042-c13-n1,SRX9620173,SRR13182294
atac-seq_f042-c13-n1,SRX9620173,SRR13182295
atac-seq_f042-c13-n1,SRX9620173,SRR13182296
atac-seq_f042-c13-n1,SRX9620173,SRR13182297
atac-seq_f043-c14-n1,SRX9620174,SRR13182298
atac-seq_f043-c14-n1,SRX9620174,SRR13182299
atac-seq_f044-c15-t1,SRX9620175,SRR13182300
atac-seq_f044-c15-t1,SRX9620175,SRR13182301
atac-seq_f044-c15-t1,SRX9620175,SRR13182302
atac-seq_f044-c15-t1,SRX9620175,SRR13182303
atac-seq_f045-c15-n1,SRX9620176,SRR13182304
atac-seq_f045-c15-n1,SRX9620176,SRR13182305
atac-seq_f045-c15-n1,SRX9620176,SRR13182306
atac-seq_f045-c15-n1,SRX9620176,SRR13182307
atac-seq_f046-c16-t1,SRX9620177,SRR13182308
atac-seq_f046-c16-t1,SRX9620177,SRR13182309
atac-seq_f047-c16-n1,SRX9620178,SRR13182310
atac-seq_f047-c16-n1,SRX9620178,SRR13182006
atac-seq_f048-c17-t1,SRX9620179,SRR13182007
atac-seq_f048-c17-t1,SRX9620179,SRR13182008
atac-seq_f048-c17-t1,SRX9620179,SRR13182009
atac-seq_f048-c17-t1,SRX9620179,SRR13182010
atac-seq_f049-c17-n1,SRX9620180,SRR13182011
atac-seq_f049-c17-n1,SRX9620180,SRR13182012
atac-seq_f049-c17-n1,SRX9620180,SRR13182013
atac-seq_f049-c17-n1,SRX9620180,SRR13182014
atac-seq_f050-c18-t1,SRX9620181,SRR13182015
atac-seq_f050-c18-t1,SRX9620181,SRR13182016
atac-seq_f051-c18-n1,SRX9620182,SRR13182017
atac-seq_f051-c18-n1,SRX9620182,SRR13182018
atac-seq_f052-c18-m1,SRX9620183,SRR13182019
atac-seq_f052-c18-m1,SRX9620183,SRR13182020
atac-seq_f054-c18-m3,SRX9620184,SRR13182021
atac-seq_f054-c18-m3,SRX9620184,SRR13182022
atac-seq_f055-c19-t1,SRX9620185,SRR13182023
atac-seq_f055-c19-t1,SRX9620185,SRR13182024
atac-seq_f056-c19-n1,SRX9620186,SRR13182025
atac-seq_f056-c19-n1,SRX9620186,SRR13182026
atac-seq_f059-c21-t1,SRX9620187,SRR13182027
atac-seq_f059-c21-t1,SRX9620187,SRR13182028
atac-seq_f060-c21-n1,SRX9620188,SRR13182029
atac-seq_f060-c21-n1,SRX9620188,SRR13182030
atac-seq_f061-c21-m1,SRX9620189,SRR13182031
atac-seq_f061-c21-m1,SRX9620189,SRR13182032
atac-seq_f063-c22-n1,SRX9620191,SRR13182035
atac-seq_f063-c22-n1,SRX9620191,SRR13182036
atac-seq_f004-c2-t1,SRX9620113,SRR13182002
atac-seq_f004-c2-t1,SRX9620113,SRR13182003
atac-seq_f005-c2-n1,SRX9620114,SRR13182004
atac-seq_f005-c2-n1,SRX9620114,SRR13182005
atac-seq_f007-c3-t1,SRX9620115,SRR13182231
atac-seq_f007-c3-t1,SRX9620115,SRR13182232
atac-seq_f009-c4-t1,SRX9620116,SRR13182233
atac-seq_f009-c4-t1,SRX9620116,SRR13182234
atac-seq_f010-c4-n1,SRX9620117,SRR13182235
atac-seq_f010-c4-n1,SRX9620117,SRR13182236
atac-seq_f014-c5-n1,SRX9620118,SRR13182237
atac-seq_f014-c5-n1,SRX9620118,SRR13182238
atac-seq_f017-c7-t1,SRX9620119,SRR13182239
atac-seq_f017-c7-t1,SRX9620119,SRR13182240
atac-seq_f018-c7-n1,SRX9620120,SRR13182241
atac-seq_f018-c7-n1,SRX9620120,SRR13182242
atac-seq_f019-c7-m1,SRX9620121,SRR13182243
atac-seq_f019-c7-m1,SRX9620121,SRR13182244
atac-seq_f020-c8-t1,SRX9620122,SRR13182245
atac-seq_f020-c8-t1,SRX9620122,SRR13182246
atac-seq_f021-c8-n1,SRX9620123,SRR13182247
atac-seq_f021-c8-n1,SRX9620123,SRR13182248
atac-seq_f022-c8-m1,SRX9620124,SRR13182249
atac-seq_f022-c8-m1,SRX9620124,SRR13182250
atac-seq_f023-c8-m2,SRX9620125,SRR13182251
atac-seq_f023-c8-m2,SRX9620125,SRR13182252
atac-seq_f024-c9-t1,SRX9620126,SRR13182253
atac-seq_f024-c9-t1,SRX9620126,SRR13182254
atac-seq_f025-c9-m1,SRX9620127,SRR13182255
atac-seq_f025-c9-m1,SRX9620127,SRR13182256
atac-seq_f026-c10-t1,SRX9620128,SRR13182257
atac-seq_f026-c10-t1,SRX9620128,SRR13182258
atac-seq_f028-c10-n1,SRX9620129,SRR13182259
atac-seq_f028-c10-n1,SRX9620129,SRR13182260
atac-seq_f030-c10-m2,SRX9620131,SRR13182262
atac-seq_f030-c10-m2,SRX9620131,SRR13182263
atac-seq_f001-c1-t1,SRX9620014,SRR13181996
atac-seq_f001-c1-t1,SRX9620014,SRR13181997
atac-seq_f002-c1-n1,SRX9620015,SRR13181998
atac-seq_f002-c1-n1,SRX9620015,SRR13181999
atac-seq_f003-c1-m1,SRX9620016,SRR13182000
atac-seq_f003-c1-m1,SRX9620016,SRR13182001
atac-seq_f064-c23-t1,SRX9620017,SRR13182037
atac-seq_f064-c23-t1,SRX9620017,SRR13182038
atac-seq_f065-c23-n1,SRX9620018,SRR13182039
atac-seq_f065-c23-n1,SRX9620018,SRR13182040
atac-seq_f066-c23-m1,SRX9620019,SRR13182041
atac-seq_f066-c23-m1,SRX9620019,SRR13182042
atac-seq_f067-c23-m2,SRX9620020,SRR13182043
atac-seq_f067-c23-m2,SRX9620020,SRR13182044
atac-seq_f068-c24-t1,SRX9620021,SRR13182045
atac-seq_f068-c24-t1,SRX9620021,SRR13182046
atac-seq_f069-c24-n1,SRX9620022,SRR13182047
atac-seq_f069-c24-n1,SRX9620022,SRR13182048
atac-seq_f070-c25-t1,SRX9620023,SRR13182049
atac-seq_f070-c25-t1,SRX9620023,SRR13182050
atac-seq_f071-c25-n1,SRX9620024,SRR13182051
atac-seq_f071-c25-n1,SRX9620024,SRR13182052
atac-seq_f071-c25-n1,SRX9620024,SRR13182053
atac-seq_f072-c25-m1,SRX9620025,SRR13182054
atac-seq_f072-c25-m1,SRX9620025,SRR13182055
atac-seq_f073-c25-m2,SRX9620026,SRR13182056
atac-seq_f073-c25-m2,SRX9620026,SRR13182057
atac-seq_f073-c25-m2,SRX9620026,SRR13182058
atac-seq_f074-c26-t1,SRX9620027,SRR13182059
atac-seq_f074-c26-t1,SRX9620027,SRR13182060
atac-seq_f075-c26-n1,SRX9620028,SRR13182061
atac-seq_f075-c26-n1,SRX9620028,SRR13182062
atac-seq_f076-c26-m1,SRX9620029,SRR13182063
atac-seq_f076-c26-m1,SRX9620029,SRR13182064
atac-seq_f077-c26-m2,SRX9620030,SRR13182065
atac-seq_f077-c26-m2,SRX9620030,SRR13182066
atac-seq_f078-c26-m3,SRX9620031,SRR13182067
atac-seq_f078-c26-m3,SRX9620031,SRR13182068
atac-seq_f079-c27-t1,SRX9620032,SRR13182069
atac-seq_f079-c27-t1,SRX9620032,SRR13182070
atac-seq_f079-c27-t1,SRX9620032,SRR13182071
atac-seq_f080-c27-n1,SRX9620033,SRR13182072
atac-seq_f080-c27-n1,SRX9620033,SRR13182073
atac-seq_f080-c27-n1,SRX9620033,SRR13182074
atac-seq_f080-c27-n1,SRX9620033,SRR13182075
atac-seq_f081-c27-m1,SRX9620034,SRR13182076
atac-seq_f081-c27-m1,SRX9620034,SRR13182077
atac-seq_f081-c27-m1,SRX9620034,SRR13182078
atac-seq_f081-c27-m1,SRX9620034,SRR13182079
atac-seq_f082-c28-t1,SRX9620035,SRR13182080
atac-seq_f082-c28-t1,SRX9620035,SRR13182081
atac-seq_f083-c28-n1,SRX9620036,SRR13182082
atac-seq_f083-c28-n1,SRX9620036,SRR13182083
atac-seq_f084-c28-m1,SRX9620037,SRR13182084
atac-seq_f084-c28-m1,SRX9620037,SRR13182085
atac-seq_f085-c28-m2,SRX9620038,SRR13182086
atac-seq_f085-c28-m2,SRX9620038,SRR13182087
atac-seq_f086-c29-m1,SRX9620039,SRR13182088
atac-seq_f086-c29-m1,SRX9620039,SRR13182089
atac-seq_f087-c29-m2,SRX9620040,SRR13182090
atac-seq_f087-c29-m2,SRX9620040,SRR13182091
atac-seq_f088-c30-t1,SRX9620041,SRR13182092
atac-seq_f088-c30-t1,SRX9620041,SRR13182093
atac-seq_f088-c30-t1,SRX9620041,SRR13182094
atac-seq_f089-c30-n1,SRX9620042,SRR13182095
atac-seq_f089-c30-n1,SRX9620042,SRR13182096
atac-seq_f089-c30-n1,SRX9620042,SRR13182097
atac-seq_f090-c30-m1,SRX9620043,SRR13182098
atac-seq_f090-c30-m1,SRX9620043,SRR13182099
atac-seq_f091-c30-m2,SRX9620044,SRR13182100
atac-seq_f091-c30-m2,SRX9620044,SRR13182101
atac-seq_f091-c30-m2,SRX9620044,SRR13182102
atac-seq_f092-c30-m3,SRX9620045,SRR13182103
atac-seq_f092-c30-m3,SRX9620045,SRR13182104
atac-seq_f093-c31-n1,SRX9620046,SRR13182105
atac-seq_f093-c31-n1,SRX9620046,SRR13182106
atac-seq_f093-c31-n1,SRX9620046,SRR13182107
atac-seq_f093-c31-n1,SRX9620046,SRR13182108
atac-seq_f095-c31-m1,SRX9620047,SRR13182109
atac-seq_f095-c31-m1,SRX9620047,SRR13182110
atac-seq_f095-c31-m1,SRX9620047,SRR13182111
atac-seq_f095-c31-m1,SRX9620047,SRR13182112
atac-seq_f096-c31-m2,SRX9620048,SRR13182113
atac-seq_f096-c31-m2,SRX9620048,SRR13182114
atac-seq_f097-c31-m3,SRX9620049,SRR13182115
atac-seq_f097-c31-m3,SRX9620049,SRR13182116
atac-seq_f097-c31-m3,SRX9620049,SRR13182117
atac-seq_f097-c31-m3,SRX9620049,SRR13182118
atac-seq_f099-c32-t2,SRX9620050,SRR13182119
atac-seq_f099-c32-t2,SRX9620050,SRR13182120
atac-seq_f100-c33-t1,SRX9620051,SRR13182121
atac-seq_f100-c33-t1,SRX9620051,SRR13182122
atac-seq_f101-c34-t1,SRX9620052,SRR13182123
atac-seq_f101-c34-t1,SRX9620052,SRR13182124
atac-seq_f101-c34-t1,SRX9620052,SRR13182125
atac-seq_f101-c34-t1,SRX9620052,SRR13182126
atac-seq_f101-c34-t1,SRX9620052,SRR13182127
atac-seq_f102-c34-n1,SRX9620053,SRR13182128
atac-seq_f102-c34-n1,SRX9620053,SRR13182129
atac-seq_f102-c34-n1,SRX9620053,SRR13182130
atac-seq_f102-c34-n1,SRX9620053,SRR13182131
atac-seq_f103-c35-t1,SRX9620054,SRR13182132
atac-seq_f103-c35-t1,SRX9620054,SRR13182133
atac-seq_f103-c35-t1,SRX9620054,SRR13182134
atac-seq_f103-c35-t1,SRX9620054,SRR13182135
atac-seq_f104-c35-n1,SRX9620055,SRR13182136
atac-seq_f104-c35-n1,SRX9620055,SRR13182137
atac-seq_f104-c35-n1,SRX9620055,SRR13182138
atac-seq_f104-c35-n1,SRX9620055,SRR13182139
